coefficient,estimate,p_value,significant_5pct
Alpha,0.0003613676311441435,0.10433200543458451,False
Mkt-RF beta,1.1613018633290086,0.0,True
SMB beta,-0.2887278976919321,2.643276237168987e-16,True
HML beta,-0.34293731848417575,1.3885290317628174e-40,True
